name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,Location,Color,Drivetrain
sx4,2008,195000,58000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
dzire,2014,550000,45780,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
omni,2012,125000,50000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ciaz,2014,750000,15000,Petrol,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ritz,2013,265000,64532,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
wagon r,2006,105000,65000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ertiga,2015,580000,25870,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ciaz,2017,775000,37000,Petrol,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
fortuner,2012,1490000,104707,Diesel,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
fortuner,2015,2300000,40000,Diesel,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
innova,2017,1800000,15000,Diesel,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
fortuner,2013,1600000,135000,Diesel,Individual,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
innova,2005,275000,90000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
corolla altis,2009,360000,70000,Petrol,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
etios cross,2015,450000,40534,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
corolla altis,2010,475000,50000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
etios g,2014,409999,39485,Petrol,Dealer,Manual,1,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
fortuner,2014,1998999,41000,Diesel,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
corolla altis,2013,695000,40001,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
etios cross,2015,450000,40588,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
fortuner,2014,1875000,78000,Diesel,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
fortuner,2015,2350000,47000,Diesel,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
fortuner,2017,3300000,6000,Diesel,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
etios liva,2014,475000,45000,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
innova,2017,1975000,11000,Petrol,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
fortuner,2010,925000,59000,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
corolla altis,2011,434999,88000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
corolla altis,2016,1425000,12000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
etios liva,2014,395000,71000,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
corolla altis,2011,450000,45000,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
corolla altis,2013,745000,56001,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
etios liva,2011,265000,43000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
etios cross,2014,490000,83000,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
etios g,2015,395000,36000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
corolla altis,2013,550000,72000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
corolla,2004,150000,135154,Petrol,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
corolla altis,2010,525000,80000,Petrol,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
fortuner,2012,1450000,89000,Diesel,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
corolla altis,2016,1473000,23000,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
etios gd,2015,475000,40000,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
innova,2017,2300000,15000,Diesel,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
innova,2015,1250000,38000,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
innova,2005,349000,197176,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
camry,2006,250000,142000,Petrol,Individual,Automatic,3,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
land cruiser,2010,3500000,78000,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
corolla altis,2012,590000,56000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
etios liva,2013,345000,47000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
etios g,2014,475000,40000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
corolla altis,2009,380000,62000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
innova,2014,1125000,58242,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
innova,2005,351000,75000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
corolla altis,2008,400000,89000,Petrol,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
corolla altis,2012,585000,72000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
innova,2016,2075000,29000,Diesel,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
corolla altis,2017,1700000,8700,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
corolla altis,2013,705000,45000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
fortuner,2010,965000,50024,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Royal Enfield,2016,175000,3000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
UM Renegade,2017,170000,1400,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
KTM RC200,2017,165000,4000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Dominar,2017,145000,1200,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Royal Enfield,2017,135000,4100,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
KTM RC390,2015,135000,21700,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Hyosung GT250R,2014,135000,16500,Petrol,Individual,Manual,1,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Royal Enfield,2013,125000,15000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Royal Enfield,2016,120000,18000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Royal Enfield,2017,120000,11000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
KTM RC200,2016,120000,6000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Royal Enfield,2016,114999,8700,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
KTM 390,2014,114999,7000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Mahindra Mojo,2016,114999,35000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Royal Enfield,2015,114999,17000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Royal Enfield,2015,111000,17500,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Royal Enfield,2013,110000,33000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Royal Enfield,2015,110000,14000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Royal Enfield,2015,110000,26000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Royal Enfield,2013,105000,5400,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Pulsar,2016,105000,5700,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Royal Enfield,2011,105000,6900,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Royal Enfield,2016,105000,6000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Royal Enfield,2013,100000,46500,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Royal Enfield,2012,95000,11500,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Royal Enfield,2009,90000,40000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Avenger,2017,90000,1300,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Avenger,2016,75000,7000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Honda CB,2017,80000,3000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Yamaha FZ,2017,78000,5000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Honda CB,2017,75000,11000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Yamaha FZ,2015,75000,18000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Avenger,2017,75000,3500,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Avenger,2016,72000,500,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
TVS Apache,2017,65000,11800,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Pulsar,2015,65000,5000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Honda CBR,2014,65000,23500,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Hero Extreme,2013,65000,16000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Honda CB,2016,60000,15000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Avenger,2015,60000,16600,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Honda CBR,2013,60000,32000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Avenger,2016,60000,20000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Yamaha FZ,2015,60000,29000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Yamaha FZ,2016,60000,25000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Pulsar,2014,60000,25000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
TVS Apache,2012,60000,19000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Hero Extreme,2014,55000,15000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Yamaha FZ,2015,55000,58000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Pulsar,2010,52000,45000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Pulsar,2016,51000,24000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
TVS Apache,2011,50000,6000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Hero Passion,2016,50000,31000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Pulsar,2012,50000,13000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Pulsar,2013,50000,45000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Yamaha Fazer,2014,50000,8000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Honda Activa,2017,48000,4300,Petrol,Individual,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
TVS Sport,2017,48000,15000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Yamaha FZ,2015,48000,23000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Honda Dream,2017,48000,8600,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Honda Activa,2017,45000,4000,Petrol,Individual,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Avenger,2011,45000,24000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
TVS Apache,2014,45000,23000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Pulsar,2012,45000,14500,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Avenger,2010,45000,27000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Hero Splender,2016,45000,14000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Activa 3g,2016,45000,500,Petrol,Individual,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Hero Passion,2016,45000,1000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
TVS Apache,2014,42000,42000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Honda CB,2013,42000,12000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Hero Splender,2015,40000,14000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Yamaha FZ,2012,40000,5500,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Hero Passion,2015,40000,6700,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Pulsar,2014,40000,13700,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Activa 4g,2017,40000,1300,Petrol,Individual,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Honda CB,2015,38000,38600,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Hero Honda,2011,38000,75000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Honda Karizma,2011,35000,30000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Honda Activa,2016,35000,24000,Petrol,Individual,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
TVS Jupyter,2014,35000,19000,Petrol,Individual,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Honda Karizma,2010,31000,213000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Hero Honda,2012,30000,60000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Hero Splender,2016,30000,50000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Honda CB,2013,30000,30000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Discover,2013,27000,21000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Pulsar,2008,25000,26000,Petrol,Individual,Manual,1,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Suzuki Access,2008,25000,1900,Petrol,Individual,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
TVS Wego,2010,25000,22000,Petrol,Individual,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Honda CB,2013,25000,32000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Hero Glamour,2013,25000,18000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Hero Super,2005,20000,55000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Pulsar,2008,20000,60000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Discover,2012,20000,25000,Petrol,Individual,Manual,1,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Hero Hunk,2007,20000,49000,Petrol,Individual,Manual,1,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Hero Ignitor,2013,20000,24000,Petrol,Individual,Manual,1,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Hero CBZ,2008,20000,50000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj ct,2015,18000,35000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Activa 3g,2008,17000,500000,Petrol,Individual,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Honda CB,2010,16000,33000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Discover,2011,15000,35000,Petrol,Individual,Manual,1,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Honda CB,2007,12000,53000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
Bajaj Pulsar,2006,10000,92233,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
i20,2010,325000,58000,Diesel,Dealer,Manual,1,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
grand i10,2015,440000,28200,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
i10,2011,295000,53460,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
eon,2015,275000,28282,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
grand i10,2016,525000,3493,Petrol,Dealer,Manual,1,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
xcent,2017,575000,12479,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
grand i10,2015,515000,34797,Petrol,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
i20,2017,790000,3435,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
grand i10,2015,484999,21125,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
i10,2012,310000,35775,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
elantra,2015,1175000,43535,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
creta,2016,1125000,22671,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
i20,2011,290000,31604,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
grand i10,2017,525000,20114,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
verna,2012,450000,36100,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
eon,2016,290000,12500,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
eon,2016,315000,15000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
verna,2014,645000,45078,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
verna,2012,450000,36000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
eon,2017,350000,38488,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
i20,2013,450000,32000,Petrol,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
